, etot, ebond, eang, etor, evdw, ehb_cho, ehb_chn,ehb_chc, ecoul, density
122 , -28080.84191 , -1383.28756185 , 13.48469064 , 5.60227656 , 238.78647635 , -8.2496935 , -0.46601181 , -0.15394391 , -33.80624257 , 1.7128693872493759
123 , -28080.16102 , -1381.89902716 , 12.90940864 , 6.10889003 , 237.58737297 , -8.50846031 , -0.50488409 , -0.15867392 , -32.97658095 , 1.7209943829792846
124 , -28080.92331 , -1383.36901213 , 13.61296366 , 5.61890125 , 238.55276943 , -7.84759186 , -0.42241827 , -0.15993742 , -33.0561875 , 1.7166509798278589
125 , -28080.04347 , -1381.81502199 , 12.84970444 , 6.33665756 , 237.32390397 , -8.07963557 , -0.53338566 , -0.18945943 , -31.8112323 , 1.7444850594196948
126 , -28080.92888 , -1382.45849561 , 13.11177629 , 5.55186126 , 238.48970012 , -8.24998622 , -0.50196135 , -0.15350201 , -33.27571835 , 1.7573727351224566
127 , -28080.83633 , -1381.83628309 , 12.75661997 , 5.8688049 , 237.72346529 , -8.42305479 , -0.59684305 , -0.24735073 , -32.33622078 , 1.7710980945272907
128 , -28080.7096 , -1384.94385737 , 14.53771598 , 5.39698202 , 239.87885034 , -8.50507236 , -0.50679446 , -0.24521196 , -33.14306359 , 1.7277084983105695
129 , -28079.70342 , -1384.01595173 , 13.87265976 , 5.62756107 , 238.87196353 , -7.40058221 , -0.49788043 , -0.17712106 , -32.38429682 , 1.7717161109570425
130 , -28080.21444 , -1383.38863801 , 13.4774551 , 5.78151332 , 238.69393618 , -8.35726807 , -0.46648092 , -0.25029342 , -32.66559726 , 1.781043362892121
131 , -28080.74287 , -1383.57260589 , 13.98965375 , 5.71616129 , 238.63593646 , -8.12550158 , -0.68316069 , -0.25461822 , -32.31345272 , 1.8056974888922719
132 , -28080.76064 , -1383.2095445 , 13.2909205 , 5.57357517 , 238.61534888 , -8.26302591 , -0.59932017 , -0.40335553 , -32.10315826 , 1.8139448131949871
133 , -28080.19949 , -1383.41337835 , 13.52069296 , 5.76334704 , 238.69434381 , -8.35024348 , -0.45838149 , -0.24591388 , -32.68905733 , 1.7841821935462983
134 , -28080.23025 , -1383.38688967 , 13.45107651 , 5.7827074 , 238.72231747 , -8.36289421 , -0.47045553 , -0.24151429 , -32.66766852 , 1.7820813021540323
135 , -28081.09528 , -1382.66326055 , 13.15787557 , 5.56380273 , 238.39531881 , -9.69283246 , -0.53853928 , -0.16587061 , -34.09505303 , 1.7846365309200063
136 , -28080.84067 , -1383.07646963 , 13.37884405 , 5.51704599 , 238.54886563 , -8.97496046 , -0.63363459 , -0.15729791 , -32.90875463 , 1.7771949044395914
137 , -28080.66906 , -1382.95951895 , 13.35909812 , 5.54233678 , 238.38701898 , -8.6866774 , -0.62956625 , -0.16781566 , -32.83558245 , 1.773056900012245
138 , -28080.90546 , -1382.66369161 , 13.00197387 , 5.7019561 , 237.908134 , -8.37304887 , -0.52368093 , -0.29059698 , -33.19362447 , 1.8025430730977163
139 , -28080.45586 , -1382.9925921 , 13.42714917 , 5.51866067 , 238.40809201 , -8.75482434 , -0.58573728 , -0.17451319 , -32.93346458 , 1.784141561786345
140 , -28081.16452 , -1382.66010333 , 13.15866128 , 5.56813456 , 238.38675587 , -9.69428779 , -0.53936071 , -0.16629412 , -34.09916134 , 1.7868976388493916
141 , -28080.64357 , -1382.65115629 , 13.42254242 , 5.46174763 , 238.22519052 , -8.62043092 , -0.4776781 , -0.22055937 , -32.96010517 , 1.7848962034535614
142 , -28081.07604 , -1383.08853205 , 13.38796803 , 6.11556656 , 238.09264496 , -8.87492821 , -0.53783159 , -0.17213668 , -33.85685228 , 1.7883861094811055
143 , -28081.06158 , -1382.2981137 , 13.27438888 , 5.75752429 , 238.45062288 , -9.36482573 , -0.57852278 , -0.15351899 , -33.83312754 , 1.7184402664992002
144 , -28080.89984 , -1383.47525326 , 13.54302526 , 5.45785688 , 238.8113301 , -7.95464659 , -0.56861943 , -0.35483731 , -32.74620607 , 1.8116616725452774
145 , -28080.92226 , -1382.39680264 , 13.11165347 , 5.78533523 , 238.16996476 , -8.35359795 , -0.66642309 , -0.16897489 , -32.94227697 , 1.7080681077829074
146 , -28080.83406 , -1383.07031499 , 13.39392872 , 5.51991526 , 238.51143066 , -8.81035949 , -0.62647761 , -0.16168393 , -32.84886775 , 1.780323838840745
