, etot, eang, etor, evdw, ehb, ecoul, density
135 , -14040.82843 , 5.39120689 , 7.67286256 , 102.62819233 , -0.28709641 , -16.78638533 , 1.816699682080339
136 , -14040.8542 , 5.20557091 , 7.71105502 , 102.43106583 , -0.26496235 , -16.55077376 , 1.8137082744019868
137 , -14040.70645 , 4.88111138 , 7.93360386 , 101.80224432 , -0.29449335 , -17.19960174 , 1.7367057828633465
138 , -14040.70312 , 4.88449037 , 7.93326507 , 101.80707434 , -0.29420554 , -17.18977074 , 1.734450344761225
139 , -14040.57236 , 5.37905922 , 7.52209624 , 102.56322115 , -0.2975637 , -16.68841547 , 1.8313842418497566
140 , -14040.51338 , 5.37931649 , 7.52216148 , 102.56263782 , -0.29748437 , -16.68824858 , 1.836025658961677
141 , -14040.50241 , 5.34953687 , 7.57580516 , 102.35423937 , -0.29439395 , -16.48075872 , 1.8096958364540323
142 , -14040.56497 , 5.37907983 , 7.52210141 , 102.56358768 , -0.29758997 , -16.68858014 , 1.8309417772303735
143 , -14040.52551 , 5.38280582 , 7.6200825 , 102.41586147 , -0.29211548 , -16.59539307 , 1.8227420159295282
144 , -14040.56984 , 5.37797937 , 7.52246025 , 102.56370273 , -0.29754919 , -16.68828694 , 1.8396880978540726
145 , -14040.36943 , 5.37105638 , 7.58578261 , 102.3892845 , -0.29891394 , -16.51703542 , 1.7874325164578388
146 , -14040.52684 , 5.02677374 , 7.8531501 , 102.06864606 , -0.30748704 , -16.58175055 , 1.769660382633447
147 , -14040.44167 , 4.67291171 , 7.95391951 , 101.88008973 , -0.3017087 , -16.17561696 , 1.7789385368102073
148 , -14040.25417 , 4.53055755 , 7.98437097 , 101.55049054 , -0.25143386 , -15.36314633 , 1.7446303969736312
149 , -14040.49556 , 5.13522184 , 7.65638142 , 102.02428032 , -0.28845869 , -17.20091673 , 1.828593428870871
150 , -14040.33354 , 4.77831824 , 7.67356363 , 101.79018892 , -0.23771548 , -16.22576874 , 1.866879113725561
151 , -14040.54967 , 4.86846724 , 7.82064544 , 101.915967 , -0.30122676 , -17.10004143 , 1.82294585111536
152 , -14040.65596 , 5.07085383 , 7.57464454 , 102.42173236 , -0.2723638 , -16.80295224 , 1.7738591625518327
153 , -14040.63963 , 4.91733428 , 7.8325004 , 101.75937126 , -0.26241933 , -16.20216897 , 1.7572472202994076
154 , -14040.8366 , 5.25878793 , 7.56743511 , 102.59211638 , -0.26377173 , -16.79005723 , 1.7638648954771634
155 , -14040.41098 , 5.33703676 , 7.41758089 , 102.75519379 , -0.25537219 , -16.59199508 , 1.8311667281668658
156 , -14040.40864 , 4.99925371 , 7.57693152 , 102.06162842 , -0.2288951 , -16.22099105 , 1.8485814747013025
157 , -14040.85625 , 5.42196704 , 7.59495088 , 102.58118627 , -0.27806791 , -17.17515024 , 1.84781415829201
158 , -14040.50633 , 5.12114693 , 7.65826126 , 101.98377124 , -0.288424 , -17.19343012 , 1.8183256125166152
159 , -14040.6025 , 4.86865765 , 7.81307239 , 101.91616967 , -0.30160877 , -17.08037191 , 1.812119424763154
160 , -14040.52081 , 5.12297558 , 7.65770851 , 101.98789302 , -0.28833077 , -17.19216581 , 1.8215707062524285
161 , -14040.46912 , 5.12001621 , 7.65740367 , 101.97716821 , -0.28891987 , -17.19976026 , 1.820223908314058
162 , -14040.39824 , 5.12218889 , 7.65781455 , 101.9878321 , -0.28887582 , -17.19948788 , 1.7950231429856724
163 , -14040.73467 , 5.08167693 , 7.63207749 , 102.50344402 , -0.2762489 , -16.35674575 , 1.8351890458692612
164 , -14040.58555 , 4.930381 , 7.79778313 , 102.11619701 , -0.28736791 , -17.008851 , 1.7906400360182324
165 , -14040.65752 , 4.90690018 , 7.71736277 , 101.94907548 , -0.27828826 , -17.05258829 , 1.8178165568326832
166 , -14040.60477 , 4.88305615 , 7.8496721 , 101.98031568 , -0.26551466 , -16.87106124 , 1.841718946956834
167 , -14040.53796 , 4.81552183 , 7.758766 , 101.84978218 , -0.25091911 , -16.32987384 , 1.8274807844844483
168 , -14040.59527 , 4.90422287 , 7.71956712 , 101.95503288 , -0.27526562 , -17.04387519 , 1.831119974460428
169 , -14040.56247 , 4.85786426 , 7.81895395 , 101.91381419 , -0.25794637 , -16.74626163 , 1.8261050661783715
170 , -14040.44757 , 4.82028114 , 7.63983819 , 101.99536454 , -0.27817008 , -16.93891106 , 1.849740303000788
171 , -14039.99878 , 4.6590042 , 7.94152675 , 101.72613511 , -0.25149211 , -15.71829387 , 1.7899788036098663
172 , -14040.73618 , 4.86929308 , 7.66557703 , 101.88660156 , -0.28367222 , -17.10437377 , 1.8362470755435774
173 , -14040.51636 , 4.7911499 , 7.77877402 , 101.82699985 , -0.24723745 , -16.17168416 , 1.814088278821879
174 , -14040.51764 , 4.78253077 , 7.74381229 , 101.87972903 , -0.24516823 , -16.020756 , 1.8158850696402722
175 , -14040.53265 , 4.85672854 , 7.68422959 , 102.01263149 , -0.28755236 , -17.08468759 , 1.8313283107421447
176 , -14040.34649 , 4.60793148 , 7.85683742 , 101.80147805 , -0.31245909 , -17.00486508 , 1.7659303299056333
