, etot, eang, etor, evdw, ehb, ecoul, density
134 , -574.08704008 , 5.25282569 , 7.57378021 , 102.56890711 , -0.26312166 , -16.81637198 , 1.854633687149019
135 , -573.92154777 , 5.39120689 , 7.67286256 , 102.62819233 , -0.28709641 , -16.78638533 , 1.8398282475354484
136 , -574.03637511 , 5.20557091 , 7.71105502 , 102.43106583 , -0.26496235 , -16.55077376 , 1.8693751833629397
137 , -574.24632821 , 4.88111138 , 7.93360386 , 101.80224432 , -0.29449335 , -17.19960174 , 1.9014738122810848
138 , -574.24344411 , 4.88449037 , 7.93326507 , 101.80707434 , -0.29420554 , -17.18977074 , 1.90031235545777
139 , -573.96576372 , 5.37905922 , 7.52209624 , 102.56322115 , -0.2975637 , -16.68841547 , 1.9360075665329457
140 , -573.96573122 , 5.37931649 , 7.52216148 , 102.56263782 , -0.29748437 , -16.68824858 , 1.9361280321478784
141 , -573.92873572 , 5.34953687 , 7.57580516 , 102.35423937 , -0.29439395 , -16.48075872 , 1.9361314616077598
142 , -573.96576694 , 5.37907983 , 7.52210141 , 102.56358768 , -0.29758997 , -16.68858014 , 1.9360295604533115
143 , -573.933623 , 5.38280582 , 7.6200825 , 102.41586147 , -0.29211548 , -16.59539307 , 1.9270092102661784
144 , -573.96577292 , 5.37797937 , 7.52246025 , 102.56370273 , -0.29754919 , -16.68828694 , 1.935968389470726
145 , -573.92129622 , 5.37105638 , 7.58578261 , 102.3892845 , -0.29891394 , -16.51703542 , 1.9355072208822548
146 , -573.97509454 , 5.02677374 , 7.8531501 , 102.06864606 , -0.30748704 , -16.58175055 , 1.8913919450198584
147 , -574.20888334 , 4.67291171 , 7.95391951 , 101.88008973 , -0.3017087 , -16.17561696 , 1.8805041599163208
148 , -573.98642572 , 4.53055755 , 7.98437097 , 101.55049054 , -0.25143386 , -15.36314633 , 1.8382940878321075
149 , -574.25670715 , 5.13522184 , 7.65638142 , 102.02428032 , -0.28845869 , -17.20091673 , 1.959832276348773
150 , -574.07212212 , 4.77831824 , 7.67356363 , 101.79018892 , -0.23771548 , -16.22576874 , 1.8779990430256344
151 , -574.27364814 , 4.86846724 , 7.82064544 , 101.915967 , -0.30122676 , -17.10004143 , 1.9367913470556803
152 , -574.21327772 , 5.07085383 , 7.57464454 , 102.42173236 , -0.2723638 , -16.80295224 , 1.8974608293498774
153 , -573.93989375 , 4.91733428 , 7.8325004 , 101.75937126 , -0.26241933 , -16.20216897 , 1.9073822786051535
154 , -574.08696597 , 5.25878793 , 7.56743511 , 102.59211638 , -0.26377173 , -16.79005723 , 1.853711857682383
155 , -574.01834927 , 5.33703676 , 7.41758089 , 102.75519379 , -0.25537219 , -16.59199508 , 1.91511372879337
156 , -573.91848036 , 4.99925371 , 7.57693152 , 102.06162842 , -0.2288951 , -16.22099105 , 1.900205824134021
157 , -573.96240103 , 5.42196704 , 7.59495088 , 102.58118627 , -0.27806791 , -17.17515024 , 1.875881183502408
158 , -574.23153 , 5.12114693 , 7.65826126 , 101.98377124 , -0.288424 , -17.19343012 , 1.9441022682621434
159 , -574.27328404 , 4.86865765 , 7.81307239 , 101.91616967 , -0.30160877 , -17.08037191 , 1.938192966085335
160 , -574.23135282 , 5.12297558 , 7.65770851 , 101.98789302 , -0.28833077 , -17.19216581 , 1.9441318872370332
161 , -574.23194957 , 5.12001621 , 7.65740367 , 101.97716821 , -0.28891987 , -17.19976026 , 1.9437235784204234
162 , -574.2319187 , 5.12218889 , 7.65781455 , 101.9878321 , -0.28887582 , -17.19948788 , 1.9439246788225633
163 , -574.14428154 , 5.08167693 , 7.63207749 , 102.50344402 , -0.2762489 , -16.35674575 , 1.8701701688379568
164 , -574.31369153 , 4.930381 , 7.79778313 , 102.11619701 , -0.28736791 , -17.008851 , 1.9094260601433422
165 , -574.2763808 , 4.90690018 , 7.71736277 , 101.94907548 , -0.27828826 , -17.05258829 , 1.9017636948146555
166 , -574.30522825 , 4.88305615 , 7.8496721 , 101.98031568 , -0.26551466 , -16.87106124 , 1.918687425931004
167 , -574.21510493 , 4.81552183 , 7.758766 , 101.84978218 , -0.25091911 , -16.32987384 , 1.9213976956217715
168 , -574.27375844 , 4.90422287 , 7.71956712 , 101.95503288 , -0.27526562 , -17.04387519 , 1.9004241851106616
169 , -574.27334389 , 4.85786426 , 7.81895395 , 101.91381419 , -0.25794637 , -16.74626163 , 1.9164538121243655
170 , -574.1871952 , 4.82028114 , 7.63983819 , 101.99536454 , -0.27817008 , -16.93891106 , 1.8933770880182086
171 , -573.89331307 , 4.6590042 , 7.94152675 , 101.72613511 , -0.25149211 , -15.71829387 , 1.8229442339042963
172 , -574.19627512 , 4.86929308 , 7.66557703 , 101.88660156 , -0.28367222 , -17.10437377 , 1.876103929389627
173 , -574.19852041 , 4.7911499 , 7.77877402 , 101.82699985 , -0.24723745 , -16.17168416 , 1.9192793352379802
174 , -574.17033173 , 4.78253077 , 7.74381229 , 101.87972903 , -0.24516823 , -16.020756 , 1.9266805125145694
175 , -574.21298168 , 4.85672854 , 7.68422959 , 102.01263149 , -0.28755236 , -17.08468759 , 1.8985353781086625
176 , -574.27789655 , 4.60793148 , 7.85683742 , 101.80147805 , -0.31245909 , -17.00486508 , 1.8613382673611047
177 , -574.27715995 , 4.61564242 , 7.8600264 , 101.81263393 , -0.31040595 , -16.99921702 , 1.861222768926755
